MatrixSize,BL_GPU,BL_CPU,BL_Mis,SH_GPU,SH_CPU,SH_Mis,WARP_GPU,WARP_CPU,WARP_Mis,Speedup_BL_vs_SH,Speedup_SH_vs_WARP
32,5.84e-05,0,0,5.48e-05,0,0,6.38e-05,0,0,1.06569,0.858934
64,6.2e-05,0,0,6.04e-05,0,0,6.42e-05,0,0,1.02649,0.94081
128,7.12e-05,0,0,5.94e-05,0,0,6.96e-05,0,0,1.19865,0.853448
256,0.000141,0,0,7.8e-05,0,0,9.22e-05,0,0,1.80769,0.845987
512,0.0005258,0,0,0.0002102,0,0,0.0002732,0,0,2.50143,0.7694
1024,0.0037834,0,0,0.0011292,0,0,0.0015446,0,0,3.35051,0.731063
2048,0.0298414,0,0,0.0085732,0,0,0.0116482,0,0,3.48078,0.736011
4096,0.367844,0,0,0.0779478,0,0,0.0927366,0,0,4.71911,0.840529
8192,2.99974,0,0,0.624352,0,0,0.743778,0,0,4.80457,0.839433
